mbid,artist_lastfm,country_lastfm,listeners_lastfm,scrobbles_lastfm
14bdab3c-7508-4556-b6ab-50957be3ce6f,Ace Spectrum,United States,2158,17260
364f3cef-442b-4182-ae78-4e7e79683c24,Albert Hammond,Gibraltar; Spain; United Kingdom; United States,182453,1047798
3e54ba8b-f4cc-4192-9813-890d570e2b7a,Al Jarreau,United States,278648,2584571
8f76b73c-6db1-4e59-ae1e-b4e1545d7963,Anthem Lights,,67595,680041
dda9985e-cfe5-4b93-a1d4-204187178474,Antonio Marcos,Brazil; Mozambique,4415,24474
749896c9-578c-459c-9487-22f5376172ab,Arthur Alexander,United States,25179,211872
162fc0a7-4385-4433-a85d-73619272d237,Arthur Conley,United States,126488,535308
5a3857f8-af2d-4f27-a1dd-438d02deceb8,As Blood Runs Black,United States,230216,6672779
9f59a530-6d6e-4f73-801b-5439e1a33c92,Azul Azul,Bolivia; Spain,15979,54038
fd0af2f8-13f0-4d74-b97f-aafdb9f2bdc9,Before Dark,,1457,8334
51b7f46f-6c0f-46f2-9496-08c9ec2624d4,Ben Folds,United States,922831,25559418
a253f6cb-2752-48a6-a43e-c1cd8c5b4448,Ben Lukas Boysen,Germany,79672,796061
4ef5ed49-7ea3-405c-a381-04cf84e17d8c,Bigbang,Norway; South Korea,218267,11018222
189ede50-9c85-48b8-bae2-cb44ccd5b5c9,Bill Anderson,United States,32172,212688
47c8f88b-987a-4b64-9175-2b1b57809727,Billy Idol,United Kingdom,1247234,16798702
f2d25c16-403e-4dee-87bf-5e8337c84844,Bobby Pulido,Spain; United States,27344,157821
bf659d74-0b61-488c-8a7d-594f43bed9e0,Bo Diddley,United States,457990,3779636
0df686f8-150e-44e2-97ac-35780952e8c2,Born Jamericans,Jamaica,19158,133233
d352f5dd-3023-4565-a7bb-52396bf8821d,Buddy Holly,United States,877672,11537106
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,Scotland; United Kingdom,2195535,73336455
fb1460da-62af-41a8-9d7b-8eb8850e7549,Captain of Industry,,2051,16266
29b0a6c7-ab3a-4bf3-a64f-63c8a3548196,Carmen McRae,United States,330115,2116104
1649c891-eea0-45b2-8caf-c85d985ff3bd,CIV,United States,26020,529951
8f4c7ad3-c95c-4d62-a554-3416fb5204f4,Crystal Waters,United States,196906,974783
2fa4f06f-dd26-4504-8545-5d5d1b8e1b5c,Danne Stråhed,Sweden,3086,35869
a26a55f2-57f7-48a6-a219-32e66009ef6a,Dave Loggins,,34313,153199
dbc8ef4c-305e-4d89-9ab7-903349b267f2,Dick Walter,,8053,33314
751e517d-9663-4692-8c20-942e16d484c5,Djavan,Brazil; Portugal,243497,4326816
9d2c1376-8a02-4f90-8fd9-8546ddb8f635,DJ Seduction,United Kingdom,22715,119105
60a14c16-ac69-4898-b0cd-12cb87e327c9,Duncan Dhu,Mexico; Spain,119445,1096744
84cff711-6d4f-49b9-bc54-f4db4c7addfb,Eddie Holman,United States,47496,186465
df87d5be-c4b5-48e4-97b2-6440b77ca4fb,Edie Brickell & New Bohemians,United States,0,0
aa263df5-9507-43de-ba1d-77448d456b16,E.G. Daily,United States,34496,205075
