tag_id,tags,frequency
1,seen live,3538
2,rock,3144
3,pop,3106
4,american,2788
5,All,2472
6,USA,2207
7,male vocalists,2114
8,80s,1885
9,alternative,1829
10,soul,1657
11,90s,1612
12,singer-songwriter,1556
13,female vocalists,1540
14,electronic,1531
15,jazz,1431
16,70s,1427
17,indie,1388
18,60s,1333
19,oldies,1318
20,classic rock,1308
21,00s,1270
22,dance,1229
23,funk,1145
24,folk,1090
25,spotify,1060
26,rnb,1020
27,experimental,945
28,instrumental,937
29,alternative rock,926
30,Hip-Hop,907
31,blues,897
32,metal,890
33,female vocalist,819
34,electronica,809
35,punk,803
36,pop rock,797
37,country,796
38,chillout,789
39,british,786
40,acoustic,779
41,hard rock,764
42,favorites,722
43,female,703
44,indie rock,685
45,hip hop,676
46,rap,672
47,easy listening,672
48,rhythm and blues,648
49,Soundtrack,647
50,psychedelic,611
51,new wave,608
52,r&b,608
53,ambient,608
54,UK,581
55,guitar,577
56,english,545
57,Love,545
58,male vocalist,543
59,soft rock,530
60,Disco,529
61,punk rock,515
62,sexy,511
63,vocal,511
64,Progressive rock,486
65,hardcore,474
66,California,472
67,piano,470
68,world,469
69,electro,467
70,latin,459
71,emo,442
72,50s,440
73,House,439
74,composer,436
75,heavy metal,436
76,Classical,434
77,classic,431
78,indie pop,425
79,chill,425
80,Myjukebox,421
81,male,420
82,new york,403
83,10s,403
84,Rock and Roll,402
85,lounge,395
86,england,389
87,folk rock,381
88,urban,379
89,Awesome,379
90,Mellow,377
91,synthpop,372
92,funky,370
93,Avant-Garde,366
94,post-punk,356
95,beautiful,345
96,rock n roll,344
97,techno,339
98,americana,336
99,Fusion,335
100,blues rock,326
101,Pop-Rock,324
102,old school,321
103,80's,320
104,reggae,319
105,groove,319
106,Favorite,319
107,lesser known yet streamable artists,315
108,Psychedelic Rock,310
109,german,310
110,Female Voices,302
111,World Music,299
112,death metal,291
113,Need to Rate,291
114,r and b,289
115,downtempo,288
116,hiphop,287
117,United States,283
118,Smooth Jazz,277
119,cool,276
120,smooth,271
121,romantic,271
122,Progressive,262
123,acid jazz,261
124,adult contemporary,261
125,swing,255
126,female vocals,254
127,gay,252
128,contemporary classical,247
129,composers,247
130,spanish,247
131,fun,244
132,female vocal,240
133,70's,238
134,french,236
135,dance-pop,230
136,synth pop,228
137,electropop,226
138,Canadian,223
139,rockabilly,221
140,power pop,218
141,Alt-country,218
142,country rock,218
143,industrial,217
144,thrash metal,216
145,britpop,213
146,germany,213
147,christian,212
148,singer-songwriters,210
149,love songs,208
150,trip-hop,204
151,pop punk,202
152,gospel,198
153,trance,197
154,club,197
155,motown,195
156,brazilian,193
157,Neo-Soul,192
158,black metal,192
159,Garage Rock,192
160,diva,190
161,legend,189
162,AOR,189
163,under 2000 listeners,188
164,amazing,186
165,jazz fusion,185
166,northern soul,185
167,male vocal,184
168,france,183
169,post-rock,181
170,underground hip-hop,181
171,Lo-Fi,181
172,one hit wonder,180
173,metalcore,179
174,minimal,179
175,genius,179
176,misc,178
177,brasil,176
178,female artists,174
179,Grunge,173
180,atmospheric,173
181,Favorite Artists,172
182,brazil,172
183,los angeles,170
184,saxophone,170
185,noise,170
186,Southern Rock,169
187,modern country,168
188,contemporary jazz,167
189,hardcore punk,166
190,political,165
191,ska,164
192,Progressive metal,163
193,underrated,163
194,idm,162
195,classic country,162
196,texas,160
197,60's,160
198,bluegrass,160
199,groovy,159
200,art rock,158
201,canada,156
202,album rock,155
203,r'n'b,154
204,Gothic,154
205,United Kingdom,153
206,Gangsta Rap,153
207,guilty pleasure,153
208,avantgarde,151
209,Soundtracks,151
210,european,150
211,hot,149
212,Bossa Nova,149
213,folk-rock,148
214,eurodance,148
215,new age,147
216,Brutal Death Metal,146
217,bass,145
218,dub,145
219,music,143
220,chicago,143
221,check out,143
222,party,142
223,shit,142
224,contemporary country,142
225,nu jazz,141
226,Neo Soul,141
227,orchestral,141
228,Officially Shit,140
229,glam rock,139
230,synth,139
231,modern classical,139
232,melodic rock,139
233,relaxing,139
234,mpb,138
235,Power metal,137
236,comedy,137
237,swedish,136
238,post-hardcore,136
239,1980s,135
240,vocal jazz,135
241,Ballad,134
242,screamo,133
243,happy,133
244,80s Pop,133
245,speed metal,132
246,songwriter,131
247,australian,131
248,Favourites,131
249,deutsch,130
250,guitar virtuoso,130
251,Retro,130
252,london,129
253,quiet storm,129
254,aleister crowley,128
255,Old School soul,128
256,alternative metal,127
257,Aleyster Crowley,127
258,slow jams,126
259,dream pop,125
260,country pop,125
261,italian,125
262,90's,123
263,jazzy,123
264,everything,123
265,Argeu california seixas,123
266,dubstep,122
267,male country,122
268,dance pop,121
269,melancholy,121
270,bebop,121
271,Mondiovision,121
272,Contemporary,120
273,east coast rap,119
274,1990s,119
275,Nova California Seixas,118
276,good,117
277,ost,117
278,good music,116
279,free jazz,116
280,shoegaze,114
281,Experimental Rock,114
282,20th Century,114
283,ethereal,114
284,dark,113
285,jazz piano,113
286,doo wop,113
287,East Coast,112
288,underground rap,112
289,40s,112
290,grammy nominee,112
291,garage,111
292,Dead,111
293,grindcore,111
294,darkwave,111
295,relax,111
296,us,111
297,neoclassical,110
298,north america,110
299,grammy winner,110
300,Drum and bass,109
301,romance,109
302,Christopher Lee,109
303,Silvio Passos,109
304,Guilty Pleasures,108
305,california seixas,108
306,Wilson Seixas,108
307,jazz vocal,108
308,NYC,107
309,Raul Seixas,107
310,score,107
311,jecks,106
312,melodic metal,106
313,america,106
314,Dirty South,104
315,underground,104
316,melancholic,104
317,Girl Groups,103
318,powerpop,103
319,sweet,103
320,jazz-funk,102
321,deep house,101
322,Shady,101
323,ethnic,101
324,Melodic Death Metal,101
325,Hard Bop,100
326,breakbeat,99
327,doom metal,99
328,aleister,99
329,sunshine pop,99
330,dark ambient,98
331,christmas,98
332,Post punk,97
333,2010s,97
334,Traditional Country,97
335,Anyzio Rocha,97
336,BEto Juara,97
337,Post-Bop,97
338,hardcore rap,96
339,Stoner Rock,96
340,queer,96
341,Amidio Junior,96
342,mucajai,96
343,Argeu California,96
344,blues-rock,96
345,latino,96
346,Big Band,96
347,caracarai,95
348,hair metal,94
349,samba,94
350,mexico,94
351,New York City,93
352,f,93
353,alternative rap,92
354,beats,92
355,teen pop,92
356,Don Kalifa,92
357,familia,92
358,minimalism,92
359,traditional,92
360,Nu Metal,91
361,goth,91
362,radioparadise,91
363,chanson,91
364,Southern Soul,91
365,Indian,91
366,1960s,91
367,post-grunge,90
368,indietronica,90
369,east coast hip-hop,90
370,Jazz Rock,90
371,boa vista,90
372,roraima,90
373,moje standards,90
374,Aleyster,90
375,drone,89
376,New Orleans,89
377,Sweden,89
378,singer songwriter,89
379,jazz funk,89
380,soft,89
381,2000s,89
382,Crap,88
383,new country,88
384,DonKalifa,88
385,Krica Morena Bela,88
386,KricaMorena,88
387,christian rock,88
388,My Country,87
389,celtic,87
390,gammarec,87
391,20th Century Classical,86
392,AleysterCrowley,86
393,nu-jazz,86
394,melodic hardcore,85
395,emocore,85
396,radio paradise,85
397,Pop-punk,85
398,dj,85
399,Os Putos Brothers,85
400,spain,85
401,thrash,84
402,favourite,84
403,simplesdemais,84
404,mod,84
405,1970s,83
406,dancehall,83
407,singer,83
408,Silva Alhandra,83
409,Familia Santos,83
410,sax,82
411,roots,82
412,epic,82
413,C,82
414,detroit,82
415,Adult Alternative,81
416,funny,81
417,Klassik,81
418,lovely,81
419,brazilian music,81
420,melodic,81
421,1,81
422,west coast,80
423,underground hip hop,80
424,Illinois,80
425,trumpet,80
426,Blue-Eyed Soul,80
427,Dreamy,79
428,australia,79
429,trip hop,79
430,film music,79
431,movie score composers,79
432,deathcore,79
433,space rock,78
434,alternative hip-hop,78
435,new jack swing,78
436,cute,78
437,film score,78
438,latin jazz,78
439,classic soul,78
440,quirky,77
441,synth-pop,77
442,crossover,77
443,producer,77
