tags,frequency
seen live,3538
rock,3144
pop,3106
american,2788
All,2472
USA,2207
male vocalists,2114
80s,1885
alternative,1829
soul,1657
90s,1612
singer-songwriter,1556
female vocalists,1540
electronic,1531
jazz,1431
70s,1427
indie,1388
60s,1333
oldies,1318
classic rock,1308
00s,1270
dance,1229
funk,1145
folk,1090
spotify,1060
rnb,1020
experimental,945
instrumental,937
alternative rock,926
Hip-Hop,907
blues,897
metal,890
female vocalist,819
electronica,809
punk,803
pop rock,797
country,796
chillout,789
british,786
acoustic,779
hard rock,764
favorites,722
female,703
indie rock,685
hip hop,676
rap,672
easy listening,672
rhythm and blues,648
Soundtrack,647
psychedelic,611
new wave,608
r&b,608
ambient,608
UK,581
guitar,577
english,545
Love,545
male vocalist,543
soft rock,530
Disco,529
punk rock,515
sexy,511
vocal,511
Progressive rock,486
hardcore,474
California,472
piano,470
world,469
electro,467
latin,459
emo,442
50s,440
House,439
composer,436
heavy metal,436
Classical,434
classic,431
indie pop,425
chill,425
Myjukebox,421
male,420
new york,403
10s,403
Rock and Roll,402
lounge,395
england,389
folk rock,381
urban,379
Awesome,379
Mellow,377
synthpop,372
funky,370
Avant-Garde,366
post-punk,356
beautiful,345
rock n roll,344
techno,339
americana,336
Fusion,335
blues rock,326
Pop-Rock,324
old school,321
80's,320
reggae,319
groove,319
Favorite,319
lesser known yet streamable artists,315
Psychedelic Rock,310
german,310
Female Voices,302
World Music,299
death metal,291
Need to Rate,291
r and b,289
downtempo,288
hiphop,287
United States,283
Smooth Jazz,277
cool,276
smooth,271
romantic,271
Progressive,262
acid jazz,261
adult contemporary,261
swing,255
female vocals,254
gay,252
contemporary classical,247
composers,247
spanish,247
fun,244
female vocal,240
70's,238
french,236
dance-pop,230
synth pop,228
electropop,226
Canadian,223
rockabilly,221
power pop,218
Alt-country,218
country rock,218
industrial,217
thrash metal,216
britpop,213
germany,213
christian,212
singer-songwriters,210
love songs,208
trip-hop,204
pop punk,202
gospel,198
trance,197
club,197
motown,195
brazilian,193
Neo-Soul,192
black metal,192
Garage Rock,192
diva,190
legend,189
AOR,189
under 2000 listeners,188
amazing,186
jazz fusion,185
northern soul,185
male vocal,184
france,183
post-rock,181
underground hip-hop,181
Lo-Fi,181
one hit wonder,180
metalcore,179
minimal,179
genius,179
misc,178
brasil,176
female artists,174
Grunge,173
atmospheric,173
Favorite Artists,172
brazil,172
los angeles,170
saxophone,170
noise,170
Southern Rock,169
modern country,168
contemporary jazz,167
hardcore punk,166
political,165
ska,164
Progressive metal,163
underrated,163
idm,162
classic country,162
texas,160
60's,160
bluegrass,160
groovy,159
art rock,158
canada,156
album rock,155
r'n'b,154
Gothic,154
United Kingdom,153
Gangsta Rap,153
guilty pleasure,153
avantgarde,151
Soundtracks,151
european,150
hot,149
Bossa Nova,149
folk-rock,148
eurodance,148
new age,147
Brutal Death Metal,146
bass,145
dub,145
music,143
chicago,143
check out,143
party,142
shit,142
contemporary country,142
nu jazz,141
Neo Soul,141
orchestral,141
Officially Shit,140
glam rock,139
synth,139
modern classical,139
melodic rock,139
relaxing,139
mpb,138
Power metal,137
comedy,137
swedish,136
post-hardcore,136
1980s,135
vocal jazz,135
Ballad,134
screamo,133
happy,133
80s Pop,133
speed metal,132
songwriter,131
australian,131
Favourites,131
deutsch,130
guitar virtuoso,130
Retro,130
london,129
quiet storm,129
aleister crowley,128
Old School soul,128
alternative metal,127
Aleyster Crowley,127
slow jams,126
dream pop,125
country pop,125
italian,125
90's,123
jazzy,123
everything,123
Argeu california seixas,123
dubstep,122
male country,122
dance pop,121
melancholy,121
bebop,121
Mondiovision,121
Contemporary,120
east coast rap,119
1990s,119
Nova California Seixas,118
good,117
ost,117
good music,116
free jazz,116
shoegaze,114
Experimental Rock,114
20th Century,114
ethereal,114
dark,113
jazz piano,113
doo wop,113
East Coast,112
underground rap,112
40s,112
grammy nominee,112
garage,111
Dead,111
grindcore,111
darkwave,111
relax,111
us,111
neoclassical,110
north america,110
grammy winner,110
Drum and bass,109
romance,109
Christopher Lee,109
Silvio Passos,109
Guilty Pleasures,108
california seixas,108
Wilson Seixas,108
jazz vocal,108
NYC,107
Raul Seixas,107
score,107
jecks,106
melodic metal,106
america,106
Dirty South,104
underground,104
melancholic,104
Girl Groups,103
powerpop,103
sweet,103
jazz-funk,102
deep house,101
Shady,101
ethnic,101
Melodic Death Metal,101
Hard Bop,100
breakbeat,99
doom metal,99
aleister,99
sunshine pop,99
dark ambient,98
christmas,98
Post punk,97
2010s,97
Traditional Country,97
Anyzio Rocha,97
BEto Juara,97
Post-Bop,97
hardcore rap,96
Stoner Rock,96
queer,96
Amidio Junior,96
mucajai,96
Argeu California,96
blues-rock,96
latino,96
Big Band,96
caracarai,95
hair metal,94
samba,94
mexico,94
New York City,93
f,93
alternative rap,92
beats,92
teen pop,92
Don Kalifa,92
familia,92
minimalism,92
traditional,92
Nu Metal,91
goth,91
radioparadise,91
chanson,91
Southern Soul,91
Indian,91
1960s,91
post-grunge,90
